,State,Year,Drug/Alcohol Induced,Drug/Alcohol Induced Cause,Deaths,Crude Rate
5075,Texas,2008,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),271,1.1
5076,Texas,2008,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),65,0.3
5077,Texas,2008,Drug-induced causes,All other drug-induced causes,146,0.6
5078,Texas,2008,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",87,0.4
5079,Texas,2008,Alcohol-induced causes,All other alcohol-induced causes,1257,5.2
5081,Texas,2009,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),2004,8.1
5082,Texas,2009,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),323,1.3
5083,Texas,2009,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),75,0.3
5084,Texas,2009,Drug-induced causes,All other drug-induced causes,100,0.4
5085,Texas,2009,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",101,0.4
5086,Texas,2009,Alcohol-induced causes,All other alcohol-induced causes,1312,5.3
5088,Texas,2010,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),1995,7.9
5089,Texas,2010,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),303,1.2
5090,Texas,2010,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),96,0.4
5091,Texas,2010,Drug-induced causes,All other drug-induced causes,93,0.4
5092,Texas,2010,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",118,0.5
5093,Texas,2010,Alcohol-induced causes,All other alcohol-induced causes,1461,5.8
5095,Texas,2011,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),2151,8.4
5096,Texas,2011,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),316,1.2
5097,Texas,2011,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),114,0.4
5098,Texas,2011,Drug-induced causes,All other drug-induced causes,101,0.4
5099,Texas,2011,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",106,0.4
5100,Texas,2011,Alcohol-induced causes,All other alcohol-induced causes,1490,5.8
5102,Texas,2012,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),1992,7.6
5103,Texas,2012,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),348,1.3
5104,Texas,2012,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),102,0.4
5105,Texas,2012,Drug-induced causes,All other drug-induced causes,99,0.4
5106,Texas,2012,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",114,0.4
5107,Texas,2012,Alcohol-induced causes,All other alcohol-induced causes,1563,6.0
5109,Texas,2013,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),2034,7.7
5110,Texas,2013,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),304,1.1
5111,Texas,2013,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),101,0.4
5112,Texas,2013,Drug-induced causes,All other drug-induced causes,160,0.6
5113,Texas,2013,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",133,0.5
5114,Texas,2013,Alcohol-induced causes,All other alcohol-induced causes,1636,6.2
5116,Texas,2014,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),2153,8.0
5117,Texas,2014,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),344,1.3
5118,Texas,2014,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),97,0.4
5119,Texas,2014,Drug-induced causes,All other drug-induced causes,126,0.5
5120,Texas,2014,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",118,0.4
5121,Texas,2014,Alcohol-induced causes,All other alcohol-induced causes,1797,6.7
5123,Texas,2015,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),2224,8.1
5124,Texas,2015,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),256,0.9
5126,Texas,2015,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),98,0.4
5127,Texas,2015,Drug-induced causes,All other drug-induced causes,144,0.5
5128,Texas,2015,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",161,0.6
5129,Texas,2015,Alcohol-induced causes,All other alcohol-induced causes,1912,7.0
5131,Texas,2016,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),2436,8.7
5132,Texas,2016,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),303,1.1
5133,Texas,2016,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),83,0.3
5134,Texas,2016,Drug-induced causes,All other drug-induced causes,134,0.5
5135,Texas,2016,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",143,0.5
5136,Texas,2016,Alcohol-induced causes,All other alcohol-induced causes,2062,7.4
5138,Texas,2017,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),2595,9.2
5139,Texas,2017,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),312,1.1
5140,Texas,2017,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),80,0.3
5141,Texas,2017,Drug-induced causes,All other drug-induced causes,131,0.5
5142,Texas,2017,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",126,0.4
5143,Texas,2017,Alcohol-induced causes,All other alcohol-induced causes,2199,7.8
5145,Utah,1999,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),23,1.0
5146,Utah,1999,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),34,1.5
5147,Utah,1999,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),146,6.6
5148,Utah,1999,Alcohol-induced causes,All other alcohol-induced causes,124,5.6
5150,Utah,2000,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),30,1.3
5151,Utah,2000,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),39,1.7
5152,Utah,2000,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),141,6.3
5154,Utah,2000,Alcohol-induced causes,All other alcohol-induced causes,111,5.0
5156,Utah,2001,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),40,1.8
5157,Utah,2001,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),37,1.6
5158,Utah,2001,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),131,5.7
5159,Utah,2001,Alcohol-induced causes,All other alcohol-induced causes,115,5.0
5161,Utah,2002,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),69,3.0
5162,Utah,2002,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),61,2.6
5163,Utah,2002,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),158,6.8
5165,Utah,2002,Alcohol-induced causes,All other alcohol-induced causes,119,5.1
5167,Utah,2003,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),57,2.4
5168,Utah,2003,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),45,1.9
5169,Utah,2003,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),250,10.6
5171,Utah,2003,Alcohol-induced causes,All other alcohol-induced causes,112,4.7
5173,Utah,2004,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),69,2.9
5174,Utah,2004,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),55,2.3
5175,Utah,2004,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),234,9.7
5176,Utah,2004,Drug-induced causes,All other drug-induced causes,53,2.2
5177,Utah,2004,Alcohol-induced causes,All other alcohol-induced causes,97,4.0
5179,Utah,2005,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),92,3.7
5180,Utah,2005,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),46,1.9
5181,Utah,2005,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),297,12.1
5182,Utah,2005,Drug-induced causes,All other drug-induced causes,43,1.7
5183,Utah,2005,Alcohol-induced causes,All other alcohol-induced causes,129,5.2
5185,Utah,2006,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),77,3.0
5186,Utah,2006,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),57,2.3
5187,Utah,2006,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),310,12.3
5188,Utah,2006,Drug-induced causes,All other drug-induced causes,37,1.5
5189,Utah,2006,Alcohol-induced causes,All other alcohol-induced causes,139,5.5
5191,Utah,2007,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),142,5.5
5192,Utah,2007,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),54,2.1
5193,Utah,2007,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),315,12.1
5194,Utah,2007,Drug-induced causes,All other drug-induced causes,35,1.3
5195,Utah,2007,Alcohol-induced causes,All other alcohol-induced causes,136,5.2
5197,Utah,2008,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),186,7.0
5198,Utah,2008,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),67,2.5
5199,Utah,2008,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),215,8.1
5201,Utah,2008,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",36,1.4
5202,Utah,2008,Alcohol-induced causes,All other alcohol-induced causes,134,5.0
5204,Utah,2009,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),210,7.7
5205,Utah,2009,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),75,2.8
5206,Utah,2009,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),193,7.1
5207,Utah,2009,Drug-induced causes,All other drug-induced causes,30,1.1
5208,Utah,2009,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",37,1.4
5209,Utah,2009,Alcohol-induced causes,All other alcohol-induced causes,136,5.0
5211,Utah,2010,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),238,8.6
5212,Utah,2010,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),63,2.3
5213,Utah,2010,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),132,4.8
5214,Utah,2010,Drug-induced causes,All other drug-induced causes,24,0.9
5215,Utah,2010,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",31,1.1
5216,Utah,2010,Alcohol-induced causes,All other alcohol-induced causes,151,5.5
5218,Utah,2011,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),287,10.2
5219,Utah,2011,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),72,2.6
5220,Utah,2011,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),145,5.1
5222,Utah,2011,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",32,1.1
5223,Utah,2011,Alcohol-induced causes,All other alcohol-induced causes,134,4.8
5225,Utah,2012,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),337,11.8
5226,Utah,2012,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),107,3.7
5227,Utah,2012,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),157,5.5
5229,Utah,2012,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",37,1.3
5230,Utah,2012,Alcohol-induced causes,All other alcohol-induced causes,166,5.8
5232,Utah,2013,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),367,12.7
5233,Utah,2013,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),87,3.0
5234,Utah,2013,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),139,4.8
5237,Utah,2013,Alcohol-induced causes,All other alcohol-induced causes,196,6.8
5239,Utah,2014,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),411,14.0
5240,Utah,2014,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),94,3.2
5241,Utah,2014,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),97,3.3
5243,Utah,2014,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",22,0.7
5244,Utah,2014,Alcohol-induced causes,All other alcohol-induced causes,216,7.3
5246,Utah,2015,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),427,14.3
5247,Utah,2015,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),106,3.5
5248,Utah,2015,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),113,3.8
5249,Utah,2015,Drug-induced causes,All other drug-induced causes,21,0.7
5250,Utah,2015,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",28,0.9
5251,Utah,2015,Alcohol-induced causes,All other alcohol-induced causes,238,7.9
5253,Utah,2016,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),454,14.9
5254,Utah,2016,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),88,2.9
5255,Utah,2016,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),93,3.0
5256,Utah,2016,Drug-induced causes,All other drug-induced causes,50,1.6
5257,Utah,2016,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",34,1.1
5258,Utah,2016,Alcohol-induced causes,All other alcohol-induced causes,244,8.0
5260,Utah,2017,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),467,15.1
5261,Utah,2017,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),110,3.5
5262,Utah,2017,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),73,2.4
5263,Utah,2017,Drug-induced causes,All other drug-induced causes,41,1.3
5264,Utah,2017,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",27,0.9
5265,Utah,2017,Alcohol-induced causes,All other alcohol-induced causes,232,7.5
5268,Vermont,1999,Alcohol-induced causes,All other alcohol-induced causes,37,6.1
5270,Vermont,2000,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),22,3.6
5271,Vermont,2000,Alcohol-induced causes,All other alcohol-induced causes,38,6.2
5273,Vermont,2001,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),29,4.7
5275,Vermont,2001,Alcohol-induced causes,All other alcohol-induced causes,38,6.2
5277,Vermont,2002,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),30,4.9
5278,Vermont,2002,Alcohol-induced causes,All other alcohol-induced causes,68,11.0
5280,Vermont,2003,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),49,7.9
5282,Vermont,2003,Alcohol-induced causes,All other alcohol-induced causes,61,9.9
5284,Vermont,2004,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),36,5.8
5285,Vermont,2004,Alcohol-induced causes,All other alcohol-induced causes,58,9.4
5287,Vermont,2005,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),33,5.3
5289,Vermont,2005,Alcohol-induced causes,All other alcohol-induced causes,53,8.5
5291,Vermont,2006,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),57,9.2
5293,Vermont,2006,Alcohol-induced causes,All other alcohol-induced causes,63,10.1
5295,Vermont,2007,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),44,7.1
5297,Vermont,2007,Alcohol-induced causes,All other alcohol-induced causes,62,9.9
5299,Vermont,2008,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),58,9.3
5301,Vermont,2008,Alcohol-induced causes,All other alcohol-induced causes,59,9.5
5303,Vermont,2009,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),37,5.9
5305,Vermont,2009,Alcohol-induced causes,All other alcohol-induced causes,57,9.1
5307,Vermont,2010,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),34,5.4
5308,Vermont,2010,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),21,3.4
5309,Vermont,2010,Alcohol-induced causes,All other alcohol-induced causes,54,8.6
5311,Vermont,2011,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),59,9.4
5313,Vermont,2011,Alcohol-induced causes,All other alcohol-induced causes,85,13.6
5315,Vermont,2012,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),50,8.0
5318,Vermont,2012,Alcohol-induced causes,All other alcohol-induced causes,65,10.4
5320,Vermont,2013,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),63,10.1
5323,Vermont,2013,Alcohol-induced causes,All other alcohol-induced causes,95,15.2
5325,Vermont,2014,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),57,9.1
5328,Vermont,2014,Alcohol-induced causes,All other alcohol-induced causes,85,13.6
5330,Vermont,2015,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),83,13.3
5333,Vermont,2015,Alcohol-induced causes,All other alcohol-induced causes,95,15.2
5335,Vermont,2016,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),100,16.0
5338,Vermont,2016,Alcohol-induced causes,All other alcohol-induced causes,98,15.7
5340,Vermont,2017,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),113,18.1
5343,Vermont,2017,Alcohol-induced causes,All other alcohol-induced causes,91,14.6
5345,Virginia,1999,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),247,3.5
5346,Virginia,1999,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),107,1.5
5348,Virginia,1999,Drug-induced causes,All other drug-induced causes,25,0.4
5350,Virginia,1999,Alcohol-induced causes,All other alcohol-induced causes,314,4.5
5352,Virginia,2000,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),288,4.1
5353,Virginia,2000,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),101,1.4
5354,Virginia,2000,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),21,0.3
5355,Virginia,2000,Drug-induced causes,All other drug-induced causes,30,0.4
5357,Virginia,2000,Alcohol-induced causes,All other alcohol-induced causes,340,4.8
5359,Virginia,2001,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),314,4.4
5360,Virginia,2001,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),125,1.7
5362,Virginia,2001,Drug-induced causes,All other drug-induced causes,44,0.6
5363,Virginia,2001,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",26,0.4
5364,Virginia,2001,Alcohol-induced causes,All other alcohol-induced causes,324,4.5
5366,Virginia,2002,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),401,5.5
5367,Virginia,2002,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),88,1.2
5368,Virginia,2002,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),20,0.3
5370,Virginia,2002,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",21,0.3
5371,Virginia,2002,Alcohol-induced causes,All other alcohol-induced causes,309,4.2
5373,Virginia,2003,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),421,5.7
5374,Virginia,2003,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),112,1.5
5376,Virginia,2003,Drug-induced causes,All other drug-induced causes,33,0.4
5377,Virginia,2003,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",28,0.4
5378,Virginia,2003,Alcohol-induced causes,All other alcohol-induced causes,363,4.9
5380,Virginia,2004,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),445,6.0
5381,Virginia,2004,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),98,1.3
5383,Virginia,2004,Drug-induced causes,All other drug-induced causes,37,0.5
5384,Virginia,2004,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",22,0.3
5385,Virginia,2004,Alcohol-induced causes,All other alcohol-induced causes,310,4.1
5387,Virginia,2005,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),454,6.0
5388,Virginia,2005,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),111,1.5
5390,Virginia,2005,Drug-induced causes,All other drug-induced causes,36,0.5
5391,Virginia,2005,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",22,0.3
5392,Virginia,2005,Alcohol-induced causes,All other alcohol-induced causes,328,4.3
5394,Virginia,2006,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),481,6.3
5395,Virginia,2006,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),128,1.7
5397,Virginia,2006,Drug-induced causes,All other drug-induced causes,41,0.5
5399,Virginia,2006,Alcohol-induced causes,All other alcohol-induced causes,337,4.4
5401,Virginia,2007,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),522,6.7
5402,Virginia,2007,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),148,1.9
5403,Virginia,2007,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),29,0.4
5405,Virginia,2007,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",28,0.4
5406,Virginia,2007,Alcohol-induced causes,All other alcohol-induced causes,417,5.4
5408,Virginia,2008,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),560,7.1
5409,Virginia,2008,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),138,1.8
5410,Virginia,2008,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),20,0.3
5412,Virginia,2008,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",32,0.4
5413,Virginia,2008,Alcohol-induced causes,All other alcohol-induced causes,428,5.5
5415,Virginia,2009,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),516,6.5
5416,Virginia,2009,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),144,1.8
5417,Virginia,2009,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),24,0.3
5419,Virginia,2009,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",42,0.5
5420,Virginia,2009,Alcohol-induced causes,All other alcohol-induced causes,376,4.7
5422,Virginia,2010,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),432,5.4
5423,Virginia,2010,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),102,1.3
5424,Virginia,2010,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),23,0.3
5426,Virginia,2010,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",38,0.5
5427,Virginia,2010,Alcohol-induced causes,All other alcohol-induced causes,376,4.7
5429,Virginia,2011,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),627,7.7
5430,Virginia,2011,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),147,1.8
5431,Virginia,2011,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),23,0.3
5433,Virginia,2011,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",35,0.4
5434,Virginia,2011,Alcohol-induced causes,All other alcohol-induced causes,460,5.7
5436,Virginia,2012,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),553,6.8
5437,Virginia,2012,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),148,1.8
5438,Virginia,2012,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),32,0.4
5439,Virginia,2012,Drug-induced causes,All other drug-induced causes,22,0.3
5440,Virginia,2012,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",52,0.6
5441,Virginia,2012,Alcohol-induced causes,All other alcohol-induced causes,479,5.9
5443,Virginia,2013,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),683,8.3
5444,Virginia,2013,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),143,1.7
5445,Virginia,2013,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),28,0.3
5446,Virginia,2013,Drug-induced causes,All other drug-induced causes,36,0.4
5447,Virginia,2013,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",41,0.5
5448,Virginia,2013,Alcohol-induced causes,All other alcohol-induced causes,455,5.5
5450,Virginia,2014,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),777,9.3
5451,Virginia,2014,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),158,1.9
5452,Virginia,2014,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),45,0.5
5453,Virginia,2014,Drug-induced causes,All other drug-induced causes,22,0.3
5454,Virginia,2014,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",30,0.4
5455,Virginia,2014,Alcohol-induced causes,All other alcohol-induced causes,520,6.2
5457,Virginia,2015,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),881,10.5
5458,Virginia,2015,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),127,1.5
5459,Virginia,2015,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),31,0.4
5460,Virginia,2015,Drug-induced causes,All other drug-induced causes,31,0.4
5461,Virginia,2015,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",45,0.5
5462,Virginia,2015,Alcohol-induced causes,All other alcohol-induced causes,610,7.3
5464,Virginia,2016,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),1257,14.9
5465,Virginia,2016,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),112,1.3
5466,Virginia,2016,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),36,0.4
5467,Virginia,2016,Drug-induced causes,All other drug-induced causes,39,0.5
5468,Virginia,2016,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",55,0.7
5469,Virginia,2016,Alcohol-induced causes,All other alcohol-induced causes,618,7.3
5471,Virginia,2017,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),1344,15.9
5472,Virginia,2017,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),129,1.5
5473,Virginia,2017,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),31,0.4
5474,Virginia,2017,Drug-induced causes,All other drug-induced causes,51,0.6
5475,Virginia,2017,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",53,0.6
5476,Virginia,2017,Alcohol-induced causes,All other alcohol-induced causes,643,7.6
5478,Washington,1999,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),401,6.9
5479,Washington,1999,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),95,1.6
5480,Washington,1999,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),53,0.9
5481,Washington,1999,Drug-induced causes,All other drug-induced causes,41,0.7
5483,Washington,1999,Alcohol-induced causes,All other alcohol-induced causes,556,9.5
5485,Washington,2000,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),404,6.9
5486,Washington,2000,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),86,1.5
5487,Washington,2000,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),64,1.1
5488,Washington,2000,Drug-induced causes,All other drug-induced causes,43,0.7
5489,Washington,2000,Alcohol-induced causes,All other alcohol-induced causes,517,8.8
5491,Washington,2001,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),356,5.9
